track_porto, 15, 0, racecar, racecar2, 1
track_porto, 15, 0, racecar, racecar2, 2
track_porto, 15, 0, racecar, racecar2, 3
track_porto, 15, 0, racecar2, racecar, 4
track_porto, 15, 0, racecar2, racecar, 5
track_porto, 15, 0, racecar2, racecar, 6
track_porto, 15, 0, racecar, racecar2, 7
track_porto, 15, 0, racecar, racecar2, 8
track_porto, 15, 0, racecar2, racecar, 9
track_porto, 15, 0, racecar, racecar2, 10
track_porto, 15, 0, racecar, racecar2, 10
track_porto, 15, 0, racecar2, racecar, 11
track_porto, 15, 0, racecar2, racecar, 12
track_porto, 15, 0, racecar2, racecar, 13
track_porto, 15, 0, racecar2, racecar, 13
track_porto, 15, 0, racecar2, racecar, 13
track_porto, 15, 0, racecar2, porto_track, 14
track_porto, 15, 0, racecar2, racecar, 15
track_porto, 15, 0, racecar2, racecar, 16
track_porto, 15, 0, racecar2, racecar, 17
track_porto, 15, 0, racecar, racecar2, 18
track_porto, 15, 0, racecar2, racecar, 19
track_porto, 15, 0, racecar2, racecar, 20
track_porto, 15, 0, racecar2, racecar, 21
track_porto, 15, 0, racecar2, racecar, 22
track_porto, 15, 0, racecar2, racecar, 23
track_porto, 15, 0, racecar, racecar2, 24
track_porto, 15, 0, racecar2, racecar, 25
track_porto, 15, 0, racecar2, racecar, 26
track_porto, 15, 0, racecar2, racecar, 27
track_porto, 15, 0, racecar2, racecar, 28
track_porto, 15, 0, racecar2, racecar, 29
track_porto, 15, 0, racecar2, racecar, 30
